"","la_name","age","la_total"
"825","Enfield","Age 12",27
"826","Enfield","Age 13",29
"827","Enfield","Age 14",37
"828","Enfield","Age 15",48
"829","Enfield","Age 16",24
"830","Enfield","Age 17",21
"831","Enfield","Age 18",0
"832","Enfield","Age 19 plus",0
"833","Enfield","Age 2",0
"834","Enfield","Age 3",1
"835","Enfield","Age 4",3
"836","Enfield","Age 5",8
"837","Enfield","Age 6",14
"838","Enfield","Age 7",24
"839","Enfield","Age 8",17
"840","Enfield","Age 9",22
"841","Essex","Age 0",0
"842","Essex","Age 1",0
"843","Essex","Age 10",45
"844","Essex","Age 11",80
"845","Essex","Age 12",143
"846","Essex","Age 13",185
"847","Essex","Age 14",244
"848","Essex","Age 15",303
"849","Essex","Age 16",103
"850","Essex","Age 17",59
"851","Essex","Age 18",29
"852","Essex","Age 19 plus",0
"853","Essex","Age 2",0
"854","Essex","Age 3",0
"855","Essex","Age 4",0
"856","Essex","Age 5",10
"857","Essex","Age 6",16
"858","Essex","Age 7",23
"859","Essex","Age 8",40
"860","Essex","Age 9",35
"861","Gateshead","Age 0",0
"862","Gateshead","Age 1",0
"863","Gateshead","Age 10",7
"864","Gateshead","Age 11",8
"865","Gateshead","Age 12",11
"866","Gateshead","Age 13",16
"867","Gateshead","Age 14",22
"868","Gateshead","Age 15",32
"869","Gateshead","Age 16",52
"870","Gateshead","Age 17",40
"871","Gateshead","Age 18",52
"872","Gateshead","Age 19 plus",12
"873","Gateshead","Age 2",1
"874","Gateshead","Age 3",1
"875","Gateshead","Age 4",3
"876","Gateshead","Age 5",1
"877","Gateshead","Age 6",4
"878","Gateshead","Age 7",5
"879","Gateshead","Age 8",5
"880","Gateshead","Age 9",8
"881","Gloucestershire","Age 0",0
"882","Gloucestershire","Age 1",0
"883","Gloucestershire","Age 10",30
"884","Gloucestershire","Age 11",52
"885","Gloucestershire","Age 12",59
"886","Gloucestershire","Age 13",70
"887","Gloucestershire","Age 14",71
"888","Gloucestershire","Age 15",61
"889","Gloucestershire","Age 16",26
"890","Gloucestershire","Age 17",32
"891","Gloucestershire","Age 18",13
"892","Gloucestershire","Age 19 plus",0
"893","Gloucestershire","Age 2",0
"894","Gloucestershire","Age 3",0
"895","Gloucestershire","Age 4",4
"896","Gloucestershire","Age 5",8
"897","Gloucestershire","Age 6",6
"898","Gloucestershire","Age 7",14
"899","Gloucestershire","Age 8",13
"900","Gloucestershire","Age 9",19
"901","Greenwich","Age 0",0
"902","Greenwich","Age 1",0
"903","Greenwich","Age 10",5
"904","Greenwich","Age 11",11
"905","Greenwich","Age 12",29
"906","Greenwich","Age 13",33
"907","Greenwich","Age 14",41
"908","Greenwich","Age 15",40
"909","Greenwich","Age 16",39
"910","Greenwich","Age 17",34
"911","Greenwich","Age 18",20
"912","Greenwich","Age 19 plus",0
"913","Greenwich","Age 2",0
"914","Greenwich","Age 3",0
"915","Greenwich","Age 4",3
"916","Greenwich","Age 5",6
"917","Greenwich","Age 6",3
"918","Greenwich","Age 7",4
"919","Greenwich","Age 8",3
"920","Greenwich","Age 9",8
"921","Hackney","Age 0",0
"922","Hackney","Age 1",0
"923","Hackney","Age 10",51
"924","Hackney","Age 11",52
"925","Hackney","Age 12",59
"926","Hackney","Age 13",49
"927","Hackney","Age 14",78
"928","Hackney","Age 15",60
"929","Hackney","Age 16",50
"930","Hackney","Age 17",30
"931","Hackney","Age 18",25
"932","Hackney","Age 19 plus",44
"933","Hackney","Age 2",1
"934","Hackney","Age 3",0
"935","Hackney","Age 4",9
"936","Hackney","Age 5",13
"937","Hackney","Age 6",21
"938","Hackney","Age 7",39
"939","Hackney","Age 8",35
"940","Hackney","Age 9",35
"941","Halton","Age 0",0
"942","Halton","Age 1",0
"943","Halton","Age 10",5
"944","Halton","Age 11",8
"945","Halton","Age 12",10
"946","Halton","Age 13",24
"947","Halton","Age 14",31
"948","Halton","Age 15",35
"949","Halton","Age 16",11
"950","Halton","Age 17",10
"951","Halton","Age 18",3
"952","Halton","Age 19 plus",0
"953","Halton","Age 2",0
"954","Halton","Age 3",0
"955","Halton","Age 4",1
"956","Halton","Age 5",0
"957","Halton","Age 6",2
"958","Halton","Age 7",6
"959","Halton","Age 8",6
"960","Halton","Age 9",10
"961","Hammersmith and Fulham","Age 0",0
"962","Hammersmith and Fulham","Age 1",0
"963","Hammersmith and Fulham","Age 10",9
"964","Hammersmith and Fulham","Age 11",8
"965","Hammersmith and Fulham","Age 12",16
"966","Hammersmith and Fulham","Age 13",15
"967","Hammersmith and Fulham","Age 14",22
"968","Hammersmith and Fulham","Age 15",10
"969","Hammersmith and Fulham","Age 16",9
"970","Hammersmith and Fulham","Age 17",17
"971","Hammersmith and Fulham","Age 18",9
"972","Hammersmith and Fulham","Age 19 plus",0
"973","Hammersmith and Fulham","Age 2",0
"974","Hammersmith and Fulham","Age 3",1
"975","Hammersmith and Fulham","Age 4",9
"976","Hammersmith and Fulham","Age 5",11
"977","Hammersmith and Fulham","Age 6",12
"978","Hammersmith and Fulham","Age 7",11
"979","Hammersmith and Fulham","Age 8",10
"980","Hammersmith and Fulham","Age 9",9
"981","Hampshire","Age 0",0
"982","Hampshire","Age 1",0
"983","Hampshire","Age 10",107
"984","Hampshire","Age 11",185
"985","Hampshire","Age 12",204
"986","Hampshire","Age 13",239
"987","Hampshire","Age 14",237
"988","Hampshire","Age 15",205
"989","Hampshire","Age 16",117
"990","Hampshire","Age 17",75
"991","Hampshire","Age 18",47
"992","Hampshire","Age 19 plus",0
"993","Hampshire","Age 2",0
"994","Hampshire","Age 3",1
"995","Hampshire","Age 4",5
"996","Hampshire","Age 5",20
"997","Hampshire","Age 6",14
"998","Hampshire","Age 7",45
"999","Hampshire","Age 8",66
"1000","Hampshire","Age 9",77
"1001","Haringey","Age 0",0
"1002","Haringey","Age 1",0
"1003","Haringey","Age 10",24
"1004","Haringey","Age 11",22
"1005","Haringey","Age 12",24
"1006","Haringey","Age 13",27
"1007","Haringey","Age 14",31
"1008","Haringey","Age 15",27
"1009","Haringey","Age 16",28
"1010","Haringey","Age 17",21
"1011","Haringey","Age 18",13
"1012","Haringey","Age 19 plus",0
"1013","Haringey","Age 2",1
"1014","Haringey","Age 3",2
"1015","Haringey","Age 4",3
"1016","Haringey","Age 5",2
"1017","Haringey","Age 6",11
"1018","Haringey","Age 7",9
"1019","Haringey","Age 8",16
"1020","Haringey","Age 9",21
"1021","Harrow","Age 0",0
"1022","Harrow","Age 1",0
"1023","Harrow","Age 10",7
"1024","Harrow","Age 11",22
"1025","Harrow","Age 12",26
"1026","Harrow","Age 13",22
"1027","Harrow","Age 14",27
"1028","Harrow","Age 15",31
"1029","Harrow","Age 16",28
"1030","Harrow","Age 17",17
"1031","Harrow","Age 18",20
"1032","Harrow","Age 19 plus",39
"1033","Harrow","Age 2",0
"1034","Harrow","Age 3",1
"1035","Harrow","Age 4",4
"1036","Harrow","Age 5",8
"1037","Harrow","Age 6",13
"1038","Harrow","Age 7",9
"1039","Harrow","Age 8",10
"1040","Harrow","Age 9",5
"1041","Hartlepool","Age 0",0
"1042","Hartlepool","Age 1",0
"1043","Hartlepool","Age 10",0
"1044","Hartlepool","Age 11",2
"1045","Hartlepool","Age 12",9
"1046","Hartlepool","Age 13",10
"1047","Hartlepool","Age 14",12
"1048","Hartlepool","Age 15",17
"1049","Hartlepool","Age 16",7
"1050","Hartlepool","Age 17",8
"1051","Hartlepool","Age 18",1
"1052","Hartlepool","Age 19 plus",0
"1053","Hartlepool","Age 2",0
"1054","Hartlepool","Age 3",0
"1055","Hartlepool","Age 4",0
"1056","Hartlepool","Age 5",0
"1057","Hartlepool","Age 6",0
"1058","Hartlepool","Age 7",0
"1059","Hartlepool","Age 8",0
"1060","Hartlepool","Age 9",0
"1061","Havering","Age 0",0
"1062","Havering","Age 1",0
"1063","Havering","Age 10",12
"1064","Havering","Age 11",18
"1065","Havering","Age 12",13
"1066","Havering","Age 13",22
"1067","Havering","Age 14",15
"1068","Havering","Age 15",34
"1069","Havering","Age 16",24
"1070","Havering","Age 17",5
"1071","Havering","Age 18",8
"1072","Havering","Age 19 plus",0
"1073","Havering","Age 2",0
"1074","Havering","Age 3",0
"1075","Havering","Age 4",0
"1076","Havering","Age 5",0
"1077","Havering","Age 6",2
"1078","Havering","Age 7",1
"1079","Havering","Age 8",8
"1080","Havering","Age 9",6
"1081","Herefordshire, County of","Age 0",0
"1082","Herefordshire, County of","Age 1",0
"1083","Herefordshire, County of","Age 10",14
"1084","Herefordshire, County of","Age 11",25
"1085","Herefordshire, County of","Age 12",28
"1086","Herefordshire, County of","Age 13",28
"1087","Herefordshire, County of","Age 14",26
"1088","Herefordshire, County of","Age 15",27
"1089","Herefordshire, County of","Age 16",16
"1090","Herefordshire, County of","Age 17",10
"1091","Herefordshire, County of","Age 18",9
"1092","Herefordshire, County of","Age 19 plus",0
"1093","Herefordshire, County of","Age 2",0
"1094","Herefordshire, County of","Age 3",0
"1095","Herefordshire, County of","Age 4",3
"1096","Herefordshire, County of","Age 5",7
"1097","Herefordshire, County of","Age 6",4
"1098","Herefordshire, County of","Age 7",5
"1099","Herefordshire, County of","Age 8",5
"1100","Herefordshire, County of","Age 9",10
"1101","Hertfordshire","Age 0",0
"1102","Hertfordshire","Age 1",0
"1103","Hertfordshire","Age 10",35
"1104","Hertfordshire","Age 11",61
"1105","Hertfordshire","Age 12",92
"1106","Hertfordshire","Age 13",137
"1107","Hertfordshire","Age 14",168
"1108","Hertfordshire","Age 15",177
"1109","Hertfordshire","Age 16",78
"1110","Hertfordshire","Age 17",38
"1111","Hertfordshire","Age 18",0
"1112","Hertfordshire","Age 19 plus",0
"1113","Hertfordshire","Age 2",0
"1114","Hertfordshire","Age 3",0
"1115","Hertfordshire","Age 4",2
"1116","Hertfordshire","Age 5",17
"1117","Hertfordshire","Age 6",25
"1118","Hertfordshire","Age 7",25
"1119","Hertfordshire","Age 8",37
"1120","Hertfordshire","Age 9",33
"1121","Hillingdon","Age 0",0
"1122","Hillingdon","Age 1",0
"1123","Hillingdon","Age 10",6
"1124","Hillingdon","Age 11",2
"1125","Hillingdon","Age 12",5
"1126","Hillingdon","Age 13",16
"1127","Hillingdon","Age 14",18
"1128","Hillingdon","Age 15",17
"1129","Hillingdon","Age 16",17
"1130","Hillingdon","Age 17",12
"1131","Hillingdon","Age 18",4
"1132","Hillingdon","Age 19 plus",0
"1133","Hillingdon","Age 2",0
"1134","Hillingdon","Age 3",0
"1135","Hillingdon","Age 4",0
"1136","Hillingdon","Age 5",0
"1137","Hillingdon","Age 6",2
"1138","Hillingdon","Age 7",4
"1139","Hillingdon","Age 8",10
"1140","Hillingdon","Age 9",12
"1141","Hounslow","Age 0",0
"1142","Hounslow","Age 1",0
"1143","Hounslow","Age 10",12
"1144","Hounslow","Age 11",18
"1145","Hounslow","Age 12",29
"1146","Hounslow","Age 13",43
"1147","Hounslow","Age 14",49
"1148","Hounslow","Age 15",32
"1149","Hounslow","Age 16",20
"1150","Hounslow","Age 17",30
"1151","Hounslow","Age 18",10
"1152","Hounslow","Age 19 plus",0
"1153","Hounslow","Age 2",0
"1154","Hounslow","Age 3",0
"1155","Hounslow","Age 4",0
"1156","Hounslow","Age 5",0
"1157","Hounslow","Age 6",4
"1158","Hounslow","Age 7",4
"1159","Hounslow","Age 8",5
"1160","Hounslow","Age 9",19
"1161","Isle of Wight","Age 0",0
"1162","Isle of Wight","Age 1",0
"1163","Isle of Wight","Age 10",4
"1164","Isle of Wight","Age 11",8
"1165","Isle of Wight","Age 12",17
"1166","Isle of Wight","Age 13",19
"1167","Isle of Wight","Age 14",17
"1168","Isle of Wight","Age 15",13
"1169","Isle of Wight","Age 16",11
"1170","Isle of Wight","Age 17",25
"1171","Isle of Wight","Age 18",16
"1172","Isle of Wight","Age 19 plus",10
"1173","Isle of Wight","Age 2",0
"1174","Isle of Wight","Age 3",0
"1175","Isle of Wight","Age 4",0
"1176","Isle of Wight","Age 5",0
"1177","Isle of Wight","Age 6",0
"1178","Isle of Wight","Age 7",1
"1179","Isle of Wight","Age 8",3
"1180","Isle of Wight","Age 9",1
"1181","Isles of Scilly","Age 0",0
"1182","Isles of Scilly","Age 1",0
"1183","Isles of Scilly","Age 10",0
"1184","Isles of Scilly","Age 11",0
"1185","Isles of Scilly","Age 12",0
"1186","Isles of Scilly","Age 13",0
"1187","Isles of Scilly","Age 14",0
"1188","Isles of Scilly","Age 15",0
"1189","Isles of Scilly","Age 16",2
"1190","Isles of Scilly","Age 17",0
"1191","Isles of Scilly","Age 18",0
"1192","Isles of Scilly","Age 19 plus",0
"1193","Isles of Scilly","Age 2",0
"1194","Isles of Scilly","Age 3",0
"1195","Isles of Scilly","Age 4",0
"1196","Isles of Scilly","Age 5",0
"1197","Isles of Scilly","Age 6",0
"1198","Isles of Scilly","Age 7",0
"1199","Isles of Scilly","Age 8",0
"1200","Isles of Scilly","Age 9",0
"1201","Islington","Age 0",0
"1202","Islington","Age 1",0
"1203","Islington","Age 10",3
"1204","Islington","Age 11",7
"1205","Islington","Age 12",3
"1206","Islington","Age 13",8
"1207","Islington","Age 14",4
"1208","Islington","Age 15",4
"1209","Islington","Age 16",8
"1210","Islington","Age 17",14
"1211","Islington","Age 18",11
"1212","Islington","Age 19 plus",0
"1213","Islington","Age 2",0
"1214","Islington","Age 3",0
"1215","Islington","Age 4",0
"1216","Islington","Age 5",0
"1217","Islington","Age 6",0
"1218","Islington","Age 7",0
"1219","Islington","Age 8",0
"1220","Islington","Age 9",1
"1221","Kensington and Chelsea","Age 0",0
"1222","Kensington and Chelsea","Age 1",0
"1223","Kensington and Chelsea","Age 10",4
"1224","Kensington and Chelsea","Age 11",5
"1225","Kensington and Chelsea","Age 12",6
"1226","Kensington and Chelsea","Age 13",7
"1227","Kensington and Chelsea","Age 14",8
"1228","Kensington and Chelsea","Age 15",14
"1229","Kensington and Chelsea","Age 16",7
"1230","Kensington and Chelsea","Age 17",8
"1231","Kensington and Chelsea","Age 18",5
"1232","Kensington and Chelsea","Age 19 plus",0
"1233","Kensington and Chelsea","Age 2",0
"1234","Kensington and Chelsea","Age 3",0
"1235","Kensington and Chelsea","Age 4",0
"1236","Kensington and Chelsea","Age 5",0
"1237","Kensington and Chelsea","Age 6",1
"1238","Kensington and Chelsea","Age 7",1
"1239","Kensington and Chelsea","Age 8",1
"1240","Kensington and Chelsea","Age 9",3
"1241","Kent","Age 0",0
"1242","Kent","Age 1",0
"1243","Kent","Age 10",113
"1244","Kent","Age 11",206
"1245","Kent","Age 12",251
"1246","Kent","Age 13",298
"1247","Kent","Age 14",343
"1248","Kent","Age 15",328
"1249","Kent","Age 16",329
"1250","Kent","Age 17",336
"1251","Kent","Age 18",250
"1252","Kent","Age 19 plus",0
"1253","Kent","Age 2",0
"1254","Kent","Age 3",5
"1255","Kent","Age 4",7
"1256","Kent","Age 5",15
"1257","Kent","Age 6",27
"1258","Kent","Age 7",45
"1259","Kent","Age 8",72
"1260","Kent","Age 9",90
"1261","Kingston upon Hull, City of","Age 0",0
"1262","Kingston upon Hull, City of","Age 1",0
"1263","Kingston upon Hull, City of","Age 10",0
"1264","Kingston upon Hull, City of","Age 11",5
"1265","Kingston upon Hull, City of","Age 12",6
"1266","Kingston upon Hull, City of","Age 13",5
"1267","Kingston upon Hull, City of","Age 14",8
"1268","Kingston upon Hull, City of","Age 15",15
"1269","Kingston upon Hull, City of","Age 16",11
"1270","Kingston upon Hull, City of","Age 17",16
"1271","Kingston upon Hull, City of","Age 18",11
"1272","Kingston upon Hull, City of","Age 19 plus",0
"1273","Kingston upon Hull, City of","Age 2",0
"1274","Kingston upon Hull, City of","Age 3",0
"1275","Kingston upon Hull, City of","Age 4",0
"1276","Kingston upon Hull, City of","Age 5",1
"1277","Kingston upon Hull, City of","Age 6",1
"1278","Kingston upon Hull, City of","Age 7",0
"1279","Kingston upon Hull, City of","Age 8",0
"1280","Kingston upon Hull, City of","Age 9",1
"1281","Kingston upon Thames","Age 0",0
"1282","Kingston upon Thames","Age 1",0
"1283","Kingston upon Thames","Age 10",6
"1284","Kingston upon Thames","Age 11",12
"1285","Kingston upon Thames","Age 12",15
"1286","Kingston upon Thames","Age 13",17
"1287","Kingston upon Thames","Age 14",18
"1288","Kingston upon Thames","Age 15",16
"1289","Kingston upon Thames","Age 16",20
"1290","Kingston upon Thames","Age 17",16
"1291","Kingston upon Thames","Age 18",12
"1292","Kingston upon Thames","Age 19 plus",0
"1293","Kingston upon Thames","Age 2",0
"1294","Kingston upon Thames","Age 3",0
"1295","Kingston upon Thames","Age 4",0
"1296","Kingston upon Thames","Age 5",1
"1297","Kingston upon Thames","Age 6",3
"1298","Kingston upon Thames","Age 7",1
"1299","Kingston upon Thames","Age 8",6
"1300","Kingston upon Thames","Age 9",7
"1301","Kirklees","Age 0",0
"1302","Kirklees","Age 1",0
"1303","Kirklees","Age 10",3
"1304","Kirklees","Age 11",13
"1305","Kirklees","Age 12",13
"1306","Kirklees","Age 13",17
"1307","Kirklees","Age 14",36
"1308","Kirklees","Age 15",48
"1309","Kirklees","Age 16",36
"1310","Kirklees","Age 17",16
"1311","Kirklees","Age 18",21
"1312","Kirklees","Age 19 plus",10
"1313","Kirklees","Age 2",2
"1314","Kirklees","Age 3",0
"1315","Kirklees","Age 4",0
"1316","Kirklees","Age 5",4
"1317","Kirklees","Age 6",6
"1318","Kirklees","Age 7",4
"1319","Kirklees","Age 8",5
"1320","Kirklees","Age 9",10
"1321","Knowsley","Age 0",0
"1322","Knowsley","Age 1",0
"1323","Knowsley","Age 10",16
"1324","Knowsley","Age 11",20
"1325","Knowsley","Age 12",18
"1326","Knowsley","Age 13",29
"1327","Knowsley","Age 14",27
"1328","Knowsley","Age 15",40
"1329","Knowsley","Age 16",29
"1330","Knowsley","Age 17",9
"1331","Knowsley","Age 18",8
"1332","Knowsley","Age 19 plus",0
"1333","Knowsley","Age 2",0
"1334","Knowsley","Age 3",2
"1335","Knowsley","Age 4",4
"1336","Knowsley","Age 5",22
"1337","Knowsley","Age 6",23
"1338","Knowsley","Age 7",10
"1339","Knowsley","Age 8",21
"1340","Knowsley","Age 9",25
"1341","Lambeth","Age 0",0
"1342","Lambeth","Age 1",0
"1343","Lambeth","Age 10",2
"1344","Lambeth","Age 11",21
"1345","Lambeth","Age 12",8
"1346","Lambeth","Age 13",23
"1347","Lambeth","Age 14",23
"1348","Lambeth","Age 15",26
"1349","Lambeth","Age 16",23
"1350","Lambeth","Age 17",14
"1351","Lambeth","Age 18",16
"1352","Lambeth","Age 19 plus",0
"1353","Lambeth","Age 2",0
"1354","Lambeth","Age 3",1
"1355","Lambeth","Age 4",0
"1356","Lambeth","Age 5",5
"1357","Lambeth","Age 6",2
"1358","Lambeth","Age 7",8
"1359","Lambeth","Age 8",9
"1360","Lambeth","Age 9",7
"1361","Lancashire","Age 0",0
"1362","Lancashire","Age 1",0
"1363","Lancashire","Age 10",48
"1364","Lancashire","Age 11",97
"1365","Lancashire","Age 12",89
"1366","Lancashire","Age 13",119
"1367","Lancashire","Age 14",134
"1368","Lancashire","Age 15",142
"1369","Lancashire","Age 16",85
"1370","Lancashire","Age 17",63
"1371","Lancashire","Age 18",23
"1372","Lancashire","Age 19 plus",0
"1373","Lancashire","Age 2",1
"1374","Lancashire","Age 3",0
"1375","Lancashire","Age 4",9
"1376","Lancashire","Age 5",20
"1377","Lancashire","Age 6",29
"1378","Lancashire","Age 7",27
"1379","Lancashire","Age 8",32
"1380","Lancashire","Age 9",33
"1381","Leeds","Age 0",0
"1382","Leeds","Age 1",0
"1383","Leeds","Age 10",8
"1384","Leeds","Age 11",26
"1385","Leeds","Age 12",47
"1386","Leeds","Age 13",45
"1387","Leeds","Age 14",71
"1388","Leeds","Age 15",74
"1389","Leeds","Age 16",59
"1390","Leeds","Age 17",40
"1391","Leeds","Age 18",35
"1392","Leeds","Age 19 plus",170
"1393","Leeds","Age 2",0
"1394","Leeds","Age 3",0
"1395","Leeds","Age 4",0
"1396","Leeds","Age 5",0
"1397","Leeds","Age 6",4
"1398","Leeds","Age 7",2
"1399","Leeds","Age 8",5
"1400","Leeds","Age 9",4
"1401","Leicester","Age 0",0
"1402","Leicester","Age 1",0
"1403","Leicester","Age 10",9
"1404","Leicester","Age 11",18
"1405","Leicester","Age 12",28
"1406","Leicester","Age 13",13
"1407","Leicester","Age 14",23
"1408","Leicester","Age 15",33
"1409","Leicester","Age 16",31
"1410","Leicester","Age 17",27
"1411","Leicester","Age 18",17
"1412","Leicester","Age 19 plus",0
"1413","Leicester","Age 2",0
"1414","Leicester","Age 3",0
"1415","Leicester","Age 4",0
"1416","Leicester","Age 5",2
"1417","Leicester","Age 6",4
"1418","Leicester","Age 7",2
"1419","Leicester","Age 8",11
"1420","Leicester","Age 9",6
"1421","Leicestershire","Age 0",0
"1422","Leicestershire","Age 1",0
"1423","Leicestershire","Age 10",35
"1424","Leicestershire","Age 11",58
"1425","Leicestershire","Age 12",52
"1426","Leicestershire","Age 13",74
"1427","Leicestershire","Age 14",95
"1428","Leicestershire","Age 15",84
"1429","Leicestershire","Age 16",150
"1430","Leicestershire","Age 17",122
"1431","Leicestershire","Age 18",94
"1432","Leicestershire","Age 19 plus",0
"1433","Leicestershire","Age 2",0
"1434","Leicestershire","Age 3",0
"1435","Leicestershire","Age 4",0
"1436","Leicestershire","Age 5",4
"1437","Leicestershire","Age 6",7
"1438","Leicestershire","Age 7",14
"1439","Leicestershire","Age 8",19
"1440","Leicestershire","Age 9",22
"1441","Lewisham","Age 0",0
"1442","Lewisham","Age 1",0
"1443","Lewisham","Age 10",15
"1444","Lewisham","Age 11",17
"1445","Lewisham","Age 12",34
"1446","Lewisham","Age 13",55
"1447","Lewisham","Age 14",67
"1448","Lewisham","Age 15",72
"1449","Lewisham","Age 16",106
"1450","Lewisham","Age 17",134
"1451","Lewisham","Age 18",103
"1452","Lewisham","Age 19 plus",154
"1453","Lewisham","Age 2",0
"1454","Lewisham","Age 3",0
"1455","Lewisham","Age 4",0
"1456","Lewisham","Age 5",3
"1457","Lewisham","Age 6",4
"1458","Lewisham","Age 7",3
"1459","Lewisham","Age 8",7
"1460","Lewisham","Age 9",7
"1461","Lincolnshire","Age 0",0
"1462","Lincolnshire","Age 1",0
"1463","Lincolnshire","Age 10",29
"1464","Lincolnshire","Age 11",48
"1465","Lincolnshire","Age 12",54
"1466","Lincolnshire","Age 13",106
"1467","Lincolnshire","Age 14",113
"1468","Lincolnshire","Age 15",122
"1469","Lincolnshire","Age 16",36
"1470","Lincolnshire","Age 17",17
"1471","Lincolnshire","Age 18",10
"1472","Lincolnshire","Age 19 plus",0
"1473","Lincolnshire","Age 2",0
"1474","Lincolnshire","Age 3",0
"1475","Lincolnshire","Age 4",4
"1476","Lincolnshire","Age 5",12
"1477","Lincolnshire","Age 6",12
"1478","Lincolnshire","Age 7",22
"1479","Lincolnshire","Age 8",28
"1480","Lincolnshire","Age 9",40
"1481","Liverpool","Age 0",0
"1482","Liverpool","Age 1",0
"1483","Liverpool","Age 10",38
"1484","Liverpool","Age 11",26
"1485","Liverpool","Age 12",30
"1486","Liverpool","Age 13",65
"1487","Liverpool","Age 14",57
"1488","Liverpool","Age 15",56
"1489","Liverpool","Age 16",29
"1490","Liverpool","Age 17",12
"1491","Liverpool","Age 18",4
"1492","Liverpool","Age 19 plus",0
"1493","Liverpool","Age 2",0
"1494","Liverpool","Age 3",0
"1495","Liverpool","Age 4",1
"1496","Liverpool","Age 5",6
"1497","Liverpool","Age 6",7
"1498","Liverpool","Age 7",7
"1499","Liverpool","Age 8",7
"1500","Liverpool","Age 9",30
"1501","Luton","Age 0",0
"1502","Luton","Age 1",0
"1503","Luton","Age 10",5
"1504","Luton","Age 11",5
"1505","Luton","Age 12",6
"1506","Luton","Age 13",3
"1507","Luton","Age 14",7
"1508","Luton","Age 15",17
"1509","Luton","Age 16",10
"1510","Luton","Age 17",6
"1511","Luton","Age 18",2
"1512","Luton","Age 19 plus",0
"1513","Luton","Age 2",0
"1514","Luton","Age 3",0
"1515","Luton","Age 4",0
"1516","Luton","Age 5",0
"1517","Luton","Age 6",1
"1518","Luton","Age 7",1
"1519","Luton","Age 8",3
"1520","Luton","Age 9",4
"1521","Manchester","Age 0",0
"1522","Manchester","Age 1",0
"1523","Manchester","Age 10",11
"1524","Manchester","Age 11",46
"1525","Manchester","Age 12",61
"1526","Manchester","Age 13",77
"1527","Manchester","Age 14",96
"1528","Manchester","Age 15",71
"1529","Manchester","Age 16",73
"1530","Manchester","Age 17",61
"1531","Manchester","Age 18",48
"1532","Manchester","Age 19 plus",0
"1533","Manchester","Age 2",0
"1534","Manchester","Age 3",0
"1535","Manchester","Age 4",0
"1536","Manchester","Age 5",7
"1537","Manchester","Age 6",7
"1538","Manchester","Age 7",3
"1539","Manchester","Age 8",13
"1540","Manchester","Age 9",12
"1541","Medway","Age 0",0
"1542","Medway","Age 1",0
"1543","Medway","Age 10",11
"1544","Medway","Age 11",26
"1545","Medway","Age 12",33
"1546","Medway","Age 13",52
"1547","Medway","Age 14",47
"1548","Medway","Age 15",47
"1549","Medway","Age 16",35
"1550","Medway","Age 17",45
"1551","Medway","Age 18",30
"1552","Medway","Age 19 plus",2
"1553","Medway","Age 2",0
"1554","Medway","Age 3",1
"1555","Medway","Age 4",0
"1556","Medway","Age 5",4
"1557","Medway","Age 6",5
"1558","Medway","Age 7",5
"1559","Medway","Age 8",13
"1560","Medway","Age 9",10
"1561","Merton","Age 0",0
"1562","Merton","Age 1",0
"1563","Merton","Age 10",13
"1564","Merton","Age 11",39
"1565","Merton","Age 12",36
"1566","Merton","Age 13",39
"1567","Merton","Age 14",45
"1568","Merton","Age 15",47
"1569","Merton","Age 16",23
"1570","Merton","Age 17",20
"1571","Merton","Age 18",20
"1572","Merton","Age 19 plus",0
"1573","Merton","Age 2",0
"1574","Merton","Age 3",0
"1575","Merton","Age 4",3
"1576","Merton","Age 5",3
"1577","Merton","Age 6",10
"1578","Merton","Age 7",20
"1579","Merton","Age 8",10
"1580","Merton","Age 9",17
"1581","Middlesbrough","Age 0",0
"1582","Middlesbrough","Age 1",0
"1583","Middlesbrough","Age 10",0
"1584","Middlesbrough","Age 11",7
"1585","Middlesbrough","Age 12",26
"1586","Middlesbrough","Age 13",46
"1587","Middlesbrough","Age 14",52
"1588","Middlesbrough","Age 15",62
"1589","Middlesbrough","Age 16",1
"1590","Middlesbrough","Age 17",1
"1591","Middlesbrough","Age 18",0
"1592","Middlesbrough","Age 19 plus",0
"1593","Middlesbrough","Age 2",0
"1594","Middlesbrough","Age 3",0
"1595","Middlesbrough","Age 4",0
"1596","Middlesbrough","Age 5",0
"1597","Middlesbrough","Age 6",0
"1598","Middlesbrough","Age 7",1
"1599","Middlesbrough","Age 8",0
"1600","Middlesbrough","Age 9",2
"1601","Milton Keynes","Age 0",0
"1602","Milton Keynes","Age 1",0
"1603","Milton Keynes","Age 10",2
"1604","Milton Keynes","Age 11",7
"1605","Milton Keynes","Age 12",13
"1606","Milton Keynes","Age 13",16
"1607","Milton Keynes","Age 14",25
"1608","Milton Keynes","Age 15",22
"1609","Milton Keynes","Age 16",21
"1610","Milton Keynes","Age 17",30
"1611","Milton Keynes","Age 18",22
"1612","Milton Keynes","Age 19 plus",0
"1613","Milton Keynes","Age 2",0
"1614","Milton Keynes","Age 3",0
"1615","Milton Keynes","Age 4",0
"1616","Milton Keynes","Age 5",0
"1617","Milton Keynes","Age 6",0
"1618","Milton Keynes","Age 7",0
"1619","Milton Keynes","Age 8",0
"1620","Milton Keynes","Age 9",2
"1621","Newcastle upon Tyne","Age 0",0
"1622","Newcastle upon Tyne","Age 1",0
"1623","Newcastle upon Tyne","Age 10",23
