"","la_name","age","la_total"
"160","Blackburn with Darwen","Age 9",5
"161","Blackpool","Age 0",0
"162","Blackpool","Age 1",0
"163","Blackpool","Age 10",7
"164","Blackpool","Age 11",20
"165","Blackpool","Age 12",26
"166","Blackpool","Age 13",23
"167","Blackpool","Age 14",36
"168","Blackpool","Age 15",34
"169","Blackpool","Age 16",27
"170","Blackpool","Age 17",16
"171","Blackpool","Age 18",5
"172","Blackpool","Age 19 plus",21
"173","Blackpool","Age 2",0
"174","Blackpool","Age 3",0
"175","Blackpool","Age 4",0
"176","Blackpool","Age 5",0
"177","Blackpool","Age 6",1
"178","Blackpool","Age 7",6
"179","Blackpool","Age 8",6
"180","Blackpool","Age 9",7
"181","Bolton","Age 0",0
"182","Bolton","Age 1",0
"183","Bolton","Age 10",18
"184","Bolton","Age 11",13
"185","Bolton","Age 12",20
"186","Bolton","Age 13",33
"187","Bolton","Age 14",51
"188","Bolton","Age 15",80
"189","Bolton","Age 16",26
"190","Bolton","Age 17",15
"191","Bolton","Age 18",17
"192","Bolton","Age 19 plus",0
"193","Bolton","Age 2",0
"194","Bolton","Age 3",0
"195","Bolton","Age 4",1
"196","Bolton","Age 5",3
"197","Bolton","Age 6",7
"198","Bolton","Age 7",4
"199","Bolton","Age 8",5
"200","Bolton","Age 9",5
"201","Bournemouth, Christchurch and Poole","Age 0",0
"202","Bournemouth, Christchurch and Poole","Age 1",0
"203","Bournemouth, Christchurch and Poole","Age 10",39
"204","Bournemouth, Christchurch and Poole","Age 11",58
"205","Bournemouth, Christchurch and Poole","Age 12",77
"206","Bournemouth, Christchurch and Poole","Age 13",89
"207","Bournemouth, Christchurch and Poole","Age 14",111
"208","Bournemouth, Christchurch and Poole","Age 15",117
"209","Bournemouth, Christchurch and Poole","Age 16",92
"210","Bournemouth, Christchurch and Poole","Age 17",61
"211","Bournemouth, Christchurch and Poole","Age 18",61
"212","Bournemouth, Christchurch and Poole","Age 19 plus",0
"213","Bournemouth, Christchurch and Poole","Age 2",1
"214","Bournemouth, Christchurch and Poole","Age 3",3
"215","Bournemouth, Christchurch and Poole","Age 4",11
"216","Bournemouth, Christchurch and Poole","Age 5",25
"217","Bournemouth, Christchurch and Poole","Age 6",36
"218","Bournemouth, Christchurch and Poole","Age 7",35
"219","Bournemouth, Christchurch and Poole","Age 8",28
"220","Bournemouth, Christchurch and Poole","Age 9",37
"221","Bracknell Forest","Age 0",0
"222","Bracknell Forest","Age 1",0
"223","Bracknell Forest","Age 10",0
"224","Bracknell Forest","Age 11",1
"225","Bracknell Forest","Age 12",1
"226","Bracknell Forest","Age 13",2
"227","Bracknell Forest","Age 14",7
"228","Bracknell Forest","Age 15",9
"229","Bracknell Forest","Age 16",8
"230","Bracknell Forest","Age 17",1
"231","Bracknell Forest","Age 18",1
"232","Bracknell Forest","Age 19 plus",0
"233","Bracknell Forest","Age 2",0
"234","Bracknell Forest","Age 3",1
"235","Bracknell Forest","Age 4",0
"236","Bracknell Forest","Age 5",0
"237","Bracknell Forest","Age 6",0
"238","Bracknell Forest","Age 7",1
"239","Bracknell Forest","Age 8",1
"240","Bracknell Forest","Age 9",4
"241","Bradford","Age 0",0
"242","Bradford","Age 1",0
"243","Bradford","Age 10",4
"244","Bradford","Age 11",5
"245","Bradford","Age 12",13
"246","Bradford","Age 13",36
"247","Bradford","Age 14",63
"248","Bradford","Age 15",71
"249","Bradford","Age 16",33
"250","Bradford","Age 17",45
"251","Bradford","Age 18",12
"252","Bradford","Age 19 plus",0
"253","Bradford","Age 2",0
"254","Bradford","Age 3",0
"255","Bradford","Age 4",0
"256","Bradford","Age 5",2
"257","Bradford","Age 6",0
"258","Bradford","Age 7",1
"259","Bradford","Age 8",4
"260","Bradford","Age 9",4
"261","Brent","Age 0",0
"262","Brent","Age 1",0
"263","Brent","Age 10",6
"264","Brent","Age 11",12
"265","Brent","Age 12",8
"266","Brent","Age 13",21
"267","Brent","Age 14",44
"268","Brent","Age 15",60
"269","Brent","Age 16",18
"270","Brent","Age 17",19
"271","Brent","Age 18",9
"272","Brent","Age 19 plus",7
"273","Brent","Age 2",0
"274","Brent","Age 3",0
"275","Brent","Age 4",0
"276","Brent","Age 5",0
"277","Brent","Age 6",2
"278","Brent","Age 7",8
"279","Brent","Age 8",3
"280","Brent","Age 9",12
"281","Brighton and Hove","Age 0",0
"282","Brighton and Hove","Age 1",0
"283","Brighton and Hove","Age 10",8
"284","Brighton and Hove","Age 11",22
"285","Brighton and Hove","Age 12",22
"286","Brighton and Hove","Age 13",30
"287","Brighton and Hove","Age 14",25
"288","Brighton and Hove","Age 15",26
"289","Brighton and Hove","Age 16",18
"290","Brighton and Hove","Age 17",15
"291","Brighton and Hove","Age 18",4
"292","Brighton and Hove","Age 19 plus",0
"293","Brighton and Hove","Age 2",0
"294","Brighton and Hove","Age 3",0
"295","Brighton and Hove","Age 4",3
"296","Brighton and Hove","Age 5",1
"297","Brighton and Hove","Age 6",0
"298","Brighton and Hove","Age 7",1
"299","Brighton and Hove","Age 8",2
"300","Brighton and Hove","Age 9",4
"301","Bristol, City of","Age 0",0
"302","Bristol, City of","Age 1",0
"303","Bristol, City of","Age 10",19
"304","Bristol, City of","Age 11",55
"305","Bristol, City of","Age 12",54
"306","Bristol, City of","Age 13",48
"307","Bristol, City of","Age 14",46
"308","Bristol, City of","Age 15",41
"309","Bristol, City of","Age 16",9
"310","Bristol, City of","Age 17",8
"311","Bristol, City of","Age 18",4
"312","Bristol, City of","Age 19 plus",0
"313","Bristol, City of","Age 2",0
"314","Bristol, City of","Age 3",1
"315","Bristol, City of","Age 4",0
"316","Bristol, City of","Age 5",2
"317","Bristol, City of","Age 6",3
"318","Bristol, City of","Age 7",5
"319","Bristol, City of","Age 8",6
"320","Bristol, City of","Age 9",13
"321","Bromley","Age 0",0
"322","Bromley","Age 1",0
"323","Bromley","Age 10",17
"324","Bromley","Age 11",48
"325","Bromley","Age 12",55
"326","Bromley","Age 13",64
"327","Bromley","Age 14",88
"328","Bromley","Age 15",69
"329","Bromley","Age 16",61
"330","Bromley","Age 17",57
"331","Bromley","Age 18",42
"332","Bromley","Age 19 plus",0
"333","Bromley","Age 2",0
"334","Bromley","Age 3",0
"335","Bromley","Age 4",1
"336","Bromley","Age 5",2
"337","Bromley","Age 6",3
"338","Bromley","Age 7",7
"339","Bromley","Age 8",9
"340","Bromley","Age 9",15
"341","Buckinghamshire","Age 0",0
"342","Buckinghamshire","Age 1",0
"343","Buckinghamshire","Age 10",16
"344","Buckinghamshire","Age 11",39
"345","Buckinghamshire","Age 12",50
"346","Buckinghamshire","Age 13",46
"347","Buckinghamshire","Age 14",61
"348","Buckinghamshire","Age 15",66
"349","Buckinghamshire","Age 16",62
"350","Buckinghamshire","Age 17",59
"351","Buckinghamshire","Age 18",44
"352","Buckinghamshire","Age 19 plus",0
"353","Buckinghamshire","Age 2",0
"354","Buckinghamshire","Age 3",0
"355","Buckinghamshire","Age 4",1
"356","Buckinghamshire","Age 5",0
"357","Buckinghamshire","Age 6",4
"358","Buckinghamshire","Age 7",5
"359","Buckinghamshire","Age 8",6
"360","Buckinghamshire","Age 9",12
"361","Bury","Age 0",0
"362","Bury","Age 1",0
"363","Bury","Age 10",10
"364","Bury","Age 11",12
"365","Bury","Age 12",33
"366","Bury","Age 13",28
"367","Bury","Age 14",29
"368","Bury","Age 15",52
"369","Bury","Age 16",15
"370","Bury","Age 17",9
"371","Bury","Age 18",5
"372","Bury","Age 19 plus",0
"373","Bury","Age 2",0
"374","Bury","Age 3",1
"375","Bury","Age 4",4
"376","Bury","Age 5",6
"377","Bury","Age 6",5
"378","Bury","Age 7",8
"379","Bury","Age 8",15
"380","Bury","Age 9",5
"381","Calderdale","Age 0",0
"382","Calderdale","Age 1",0
"383","Calderdale","Age 10",18
"384","Calderdale","Age 11",28
"385","Calderdale","Age 12",28
"386","Calderdale","Age 13",30
"387","Calderdale","Age 14",40
"388","Calderdale","Age 15",33
"389","Calderdale","Age 16",13
"390","Calderdale","Age 17",8
"391","Calderdale","Age 18",3
"392","Calderdale","Age 19 plus",0
"393","Calderdale","Age 2",0
"394","Calderdale","Age 3",0
"395","Calderdale","Age 4",1
"396","Calderdale","Age 5",0
"397","Calderdale","Age 6",3
"398","Calderdale","Age 7",8
"399","Calderdale","Age 8",11
"400","Calderdale","Age 9",12
"401","Cambridgeshire","Age 0",0
"402","Cambridgeshire","Age 1",0
"403","Cambridgeshire","Age 10",42
"404","Cambridgeshire","Age 11",57
"405","Cambridgeshire","Age 12",57
"406","Cambridgeshire","Age 13",75
"407","Cambridgeshire","Age 14",106
"408","Cambridgeshire","Age 15",83
"409","Cambridgeshire","Age 16",69
"410","Cambridgeshire","Age 17",47
"411","Cambridgeshire","Age 18",21
"412","Cambridgeshire","Age 19 plus",0
"413","Cambridgeshire","Age 2",0
"414","Cambridgeshire","Age 3",0
"415","Cambridgeshire","Age 4",6
"416","Cambridgeshire","Age 5",6
"417","Cambridgeshire","Age 6",10
"418","Cambridgeshire","Age 7",11
"419","Cambridgeshire","Age 8",25
"420","Cambridgeshire","Age 9",27
"421","Camden","Age 0",0
"422","Camden","Age 1",0
"423","Camden","Age 10",5
"424","Camden","Age 11",6
"425","Camden","Age 12",14
"426","Camden","Age 13",7
"427","Camden","Age 14",14
"428","Camden","Age 15",14
"429","Camden","Age 16",9
"430","Camden","Age 17",4
"431","Camden","Age 18",6
"432","Camden","Age 19 plus",0
"433","Camden","Age 2",0
"434","Camden","Age 3",0
"435","Camden","Age 4",2
"436","Camden","Age 5",5
